지역,시,구,동,방,화장실,주방,거실,전용 면적,건물 유형,엘리베이터,주차 여부,임대료(1주),관리비용,청소비용,보증금,계약일수,총일수,예약률
경기도,안양시,동안구,관양동, 1, 1, 1, 0,7,오피스텔,있음,유료주차,"300,000","105,000","70,000","330,000",48,104,0.462
경기도,안양시,동안구,비산동, 1, 1, 1, 1,12,오피스텔,있음,무료주차(여유),"335,000","95,000","70,000","330,000",45,104,0.433
서울특별시,금천구,가산동,, 1, 1, 1, 1,6,오피스텔,있음,유료주차,"300,000","70,000","50,000","330,000",65,104,0.625
서울특별시,마포구,상암동,, 1, 1, 1, 0,6,오피스텔,있음,유료주차,"340,000","50,000","50,000","330,000",41,104,0.394
대전광역시,중구,대흥동,, 1, 1, 1, 0,7,원룸건물,없음,무료주차(선착순),"144,000","35,000","30,000","330,000",36,104,0.346
서울특별시,성동구,용답동,, 1, 1, 1, 0,10,복층오피스텔,있음,불가능,"290,000","50,000",0,"330,000",54,104,0.519
서울특별시,강서구,가양동,, 1, 1, 0, 0,9,오피스텔,있음,유료주차,"270,000","50,000","30,000","330,000",103,104,0.99
서울특별시,마포구,아현동,, 1, 1, 1, 1,11,아파트,있음,불가능,"499,000","100,000","100,000","330,000",52,104,0.5
서울특별시,성북구,성북동,, 2, 1, 1, 0,10,연립빌라,없음,무료주차(선착순),"390,000","95,000","30,000","330,000",12,104,0.115
서울특별시,구로구,구로동,, 1, 1, 1, 0,8,오피스텔,있음,불가능,"240,000","60,000","30,000","330,000",57,104,0.548
서울특별시,강동구,성내동,, 2, 1, 1, 1,19,연립빌라,없음,무료주차(여유),"549,000","100,000","80,000","330,000",54,104,0.519
경기도,평택시,용이동,, 1, 1, 1, 0,4,원룸건물,있음,무료주차(여유),"149,000","50,000",0,"330,000",52,104,0.5
부산광역시,부산진구,가야동,, 2, 1, 1, 1,16,아파트,있음,유료주차,"329,000","30,000",0,"330,000",12,104,0.115
인천광역시,연수구,송도동,, 1, 1, 1, 0,10,오피스텔,있음,무료주차(선착순),"285,000","50,000","50,000","330,000",80,104,0.769
서울특별시,강남구,대치동,, 1, 1, 1, 1,10,오피스텔,있음,불가능,"450,000","100,000","50,000","330,000",100,104,0.962
서울특별시,동대문구,전농동,, 1, 1, 1, 0,7,오피스텔,있음,무료주차(여유),"350,000","60,000",0,"330,000",74,104,0.712
서울특별시,중구,중림동,, 1, 1, 1, 1,6,복층오피스텔,있음,유료주차,"450,000","95,000","80,000","330,000",35,104,0.337
부산광역시,해운대구,우동,, 1, 1, 0, 0,8,오피스텔,있음,유료주차,"390,000","40,000","50,000","330,000",39,104,0.375
서울특별시,영등포구,양평동5가,, 2, 1, 1, 1,10,복층연립빌라,있음,무료주차(선착순),"420,000","60,000","50,000","330,000",39,104,0.375
인천광역시,부평구,십정동,, 2, 1, 1, 1,14,아파트,있음,무료주차(여유),"450,000","70,000","50,000","330,000",13,104,0.125
